iter	Passed	Remaining
0	0	84
1	1	79
2	2	86
3	3	92
4	4	94
5	5	92
6	6	91
7	7	90
8	8	90
9	9	88
10	10	87
11	11	85
12	12	83
13	13	82
14	14	80
15	15	79
16	15	77
17	16	76
18	17	75
19	18	73
20	19	72
21	20	71
22	20	70
23	21	68
24	22	67
25	23	66
26	24	65
27	24	63
28	25	62
29	26	61
30	26	60
31	27	58
32	28	57
33	29	56
34	29	55
35	30	54
36	31	52
37	31	51
38	32	50
39	33	49
40	34	49
41	34	48
42	35	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	40
49	39	39
50	40	38
51	40	37
52	41	36
53	42	35
54	42	35
55	43	34
56	44	33
57	44	32
58	45	31
59	46	30
60	46	29
61	47	28
62	47	28
63	48	27
64	49	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	54	19
74	55	18
75	56	17
76	56	16
77	57	16
78	57	15
79	58	14
80	58	13
81	59	13
82	60	12
83	60	11
84	61	10
85	62	10
86	62	9
87	63	8
88	63	7
89	64	7
90	65	6
91	65	5
92	66	4
93	66	4
94	67	3
95	68	2
96	68	2
97	69	1
98	70	0
99	70	0
