iter	Passed	Remaining
0	136	136003
1	136	68311
2	137	45721
3	138	34441
4	139	27671
5	139	23145
6	140	19910
7	141	17484
8	141	15600
9	142	14086
10	142	12851
11	143	11824
12	144	10947
13	144	10197
14	145	9543
15	145	8974
16	146	8478
17	147	8035
18	148	7642
19	148	7284
20	149	6961
21	149	6667
22	150	6396
23	151	6148
24	151	5920
25	152	5707
26	153	5513
27	153	5333
28	154	5163
29	154	5009
30	155	4861
31	156	4724
32	156	4595
33	157	4471
34	157	4356
35	158	4248
36	159	4145
37	159	4050
38	160	3958
39	161	3871
40	162	3789
41	162	3712
42	163	3634
43	163	3561
44	164	3493
45	165	3427
46	165	3365
47	166	3304
48	167	3246
49	167	3191
50	168	3138
51	169	3086
52	170	3037
53	170	2988
54	171	2940
55	171	2895
56	172	2851
57	172	2808
58	173	2767
59	174	2728
60	174	2690
61	175	2654
62	176	2620
63	176	2585
64	177	2552
65	178	2521
66	178	2489
67	179	2458
68	179	2428
69	180	2398
70	181	2369
71	181	2341
72	182	2314
73	182	2287
74	183	2264
75	184	2240
76	184	2216
77	185	2194
78	186	2172
79	186	2150
80	187	2127
81	188	2106
82	188	2082
83	189	2062
84	189	2041
85	190	2021
86	190	2002
87	191	1983
88	192	1965
89	192	1948
90	193	1932
91	194	1915
92	194	1899
93	195	1882
94	195	1865
95	196	1849
96	197	1835
97	197	1820
98	198	1806
99	199	1792
100	199	1778
101	200	1764
102	201	1751
103	201	1737
104	202	1725
105	203	1712
106	203	1700
107	204	1687
108	204	1675
109	205	1662
110	206	1651
111	206	1639
112	207	1627
113	208	1617
114	208	1606
115	209	1594
116	209	1582
117	210	1572
118	211	1562
119	211	1552
120	212	1543
121	212	1532
122	213	1523
123	214	1514
124	215	1505
125	215	1496
126	216	1486
127	216	1478
128	217	1468
129	218	1459
130	218	1449
131	219	1441
132	219	1433
133	220	1424
134	221	1416
135	221	1408
136	222	1400
137	222	1392
138	223	1385
139	224	1377
140	224	1369
141	225	1360
142	225	1354
143	226	1347
144	227	1340
145	228	1334
146	228	1327
147	229	1321
148	230	1315
149	230	1308
150	231	1302
151	232	1296
152	233	1290
153	233	1283
154	234	1277
155	235	1271
156	235	1265
157	236	1259
158	236	1253
159	237	1247
160	238	1240
161	238	1234
162	239	1228
163	239	1223
164	240	1218
